question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
Israel strikes Iran before 2026?,Yes,No,0.020000000000000018,30,2.78,3.19,1.62,4.76,18.21,0.15,100,0.0,0.0,4.62,4.27,3.85,7.69,7.61,0.37,0.39,0.38,3.5,0.01,False,israel-strikes-iran-before-2026,26101387301119236320811157843042624909865342298415631849879665540468380004943,4935491735120219515538276844021763019234029777255150441710331553232678592834,0xe4a2b3d43921a62fd693cbaca54249feec7b52fdcd5c7dd8c809a38179c1cbb0
"Will the announcers say ""Spike"" during Chiefs vs Jaguars game? (October 6)",Yes,No,0.5800000000000001,5,2.5,2.5,2.5,2.5,16.23,0.15,20,0.0,0.0,0.0,0.0,1.41,7.41,7.41,0.06,0.64,0.35,4.5,0.01,False,will-the-announcers-say-spike-during-chiefs-vs-jaguars-game-october-6,113565281114164439182125219287048284847236992386508069874602339225235065633609,50254638621824747465482832992333964551911936622148415573106801308603367942700,0xac7f91ca7e5e310c0af1aa68881fd9f066bb22e0fd222b53bc2143ad6eb6a273
"Will the announcers say ""Punt"" 15+ times during Chiefs vs Jaguars game? (October 6)",Yes,No,0.5800000000000001,5,2.5,2.5,2.5,2.5,18.21,0.14,20,0.0,0.0,0.0,0.0,1.41,8.4,8.4,0.06,0.64,0.35,4.5,0.01,False,will-the-announcers-say-punt-15-times-during-chiefs-vs-jaguars-game-october-6-413,63053699890755541572938579457259588695427516134753375554457973833139229284614,23672063748846759279773249169646560532840872142019930610535631489982058782459,0x4ef4f94882bad05729c36aa3ee81e10cc58eff33bda3f6b3174b16c61d228d22
"Will the announcers say ""Knee"" 5+ times during Chiefs vs Jaguars game? (October 6)",Yes,No,0.55,5,2.5,2.5,2.5,2.5,15.96,0.16,20,0.0,0.0,0.0,0.0,0.0,7.98,7.98,0.06,0.61,0.34,4.5,0.01,False,will-the-announcers-say-knee-5-times-during-chiefs-vs-jaguars-game-october-6-513,12170640769525565850664043393133644861121700280064680435740265711926335887138,104741781305991463661366829492269361907755114702701136824893964895871629507206,0x7f054ad44dde5b58506e518efadf3353c2fe9b84d696436ef9695424cc40aa6d
"Will the announcers say ""Taunt"" or ""Taunting"" during Chiefs vs Jaguars game? (October 6)",Yes,No,0.5800000000000001,5,2.5,2.5,2.5,2.5,15.829999999999998,0.16,20,0.0,0.0,0.0,0.0,1.41,7.21,7.21,0.06,0.64,0.35,4.5,0.01,False,will-the-announcers-say-taunt-or-taunting-during-chiefs-vs-jaguars-game-october-6,37478510850507810763952979861222233941102605577260196295310136805855975343697,22574758984361418522586816054304209647276838055495800666546123191213951311702,0xd42ce66c0177dadb623d28f94e50ed486539a1478eabe144e5860a27fd83835a
"Will the announcers say ""Concussion"" during Chiefs vs Jaguars game? (October 6)",Yes,No,0.29000000000000004,5,2.5,2.5,2.5,2.5,13.83,0.18,20,0.0,0.0,0.0,1.42,1.43,6.2,6.2,0.35,0.64,0.5,4.5,0.01,False,will-the-announcers-say-concussion-during-chiefs-vs-jaguars-game-october-6,67954945459758463862631830435611939280665702343218186078847936355396901448417,66708548122747299652029261013189522467625234765048247163869064018763534065639,0xc55d3ece13bca645263f4a8c96a1339edc148b57a85d57f614fa1043ccc500d4
"Will the announcers say ""Inch"" during Chiefs vs Jaguars game? (October 6)",Yes,No,0.4799999999999999,5,2.5,2.5,2.5,2.5,17.12,0.15,20,0.0,0.0,0.0,0.0,0.0,8.56,8.56,0.46,0.94,0.7,4.5,0.01,False,will-the-announcers-say-inch-during-chiefs-vs-jaguars-game-october-6,71097058718310037580751194356591508006904272222604917301618014207191574870883,93502124846855473543818501819181191043636701763098031836484639689479903998655,0xa11b3b3771c38e2d67c21c1d00ac91f0d4a7422cffc4bed35267ffafb93851d4
"Will the announcers say ""Tush Push"" during Chiefs vs Jaguars game? (October 6)",Yes,No,0.44000000000000006,5,2.5,2.5,2.5,2.5,19.33,0.13,20,0.0,0.0,0.0,2.31,2.33,8.5,8.5,0.09,0.53,0.31,4.5,0.01,False,will-the-announcers-say-tush-push-during-chiefs-vs-jaguars-game-october-6,92680664451120808306661549365611776820466011257143012071660139895746931430152,35541300379992685727488427089287702681367606152798669126914534679183840996301,0x5fc4885b8bb85a79a4efe01d49809a7d0a30f1409be1cfe155bacbe572b0efac
"Will Freddie Mac not IPO by June 30, 2026?",Yes,No,0.09999999999999998,5,2.5,2.5,2.5,2.5,14.530000000000001,0.17,50,0.0,0.0,3.8,2.7,2.21,0.83,11.49,0.4,0.5,0.45,4.5,0.01,True,will-freddie-mac-not-ipo-by-june-30-2026,54243248029306051275830191258135173526338964558849942397736273379412655532516,91691902168834009974806478793015739249455252228513429395248013088866059313953,0x88f380941bf0fc1a485dcf07e006e932724d8a37405b9b0f908d8046a65a006e
"Will the announcers say ""Overtime"" during Chiefs vs Jaguars game? (October 6)",Yes,No,0.42999999999999994,5,2.5,2.5,2.5,2.5,14.82,0.17,20,0.0,0.0,0.0,0.0,0.0,7.41,7.41,0.17,0.6,0.38,4.5,0.01,False,will-the-announcers-say-overtime-during-chiefs-vs-jaguars-game-october-6,103794440997341534382789059787980576156572806572433414191915133301160062649982,90957948431945022520682901340768805057754365534958455377721519219847086547518,0xc4372f599495f1a186f285dfb7603878db4bc0b1c93864585c334a95922f9ba8
