question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
Will Penguin Solutions (PENG) beat quarterly earnings?,Yes,No,0.10999999999999999,70,35.0,35.0,35.0,35.0,60.81999999999999,0.58,20,5.0,19.1,34.25,24.45,23.78,18.52,18.52,0.87,0.98,0.92,3.5,0.01,False,peng-quarterly-earnings-nongaap-eps-2025-10-07-0pt37,11630463152571971897781213321275481651402259704262926189741277348564125975715,77890849740600664751103592664177798883479697317391234398773782132543457185740,0xbcc4a0abc46ae57ebfbb0c2fdd4dbf68d53e4164570c1994b8fe9afb92f0d3cf
Will U.S. Bancorp (USB) beat quarterly earnings?,Yes,No,0.050000000000000044,70,22.01,22.26,18.92,25.61,39.37,0.56,20,0.0,2.11,7.83,5.63,6.39,16.49,16.49,0.63,0.68,0.66,3.5,0.01,False,usb-quarterly-earnings-gaap-eps-2025-10-16-1pt12,106865457003124259687212454575882696730900230527840974331695821405487076662016,17872637000287025566659245188084778537477846766763458614894209161009104880746,0x34b757c5f3db545a90059fe79b03ba79488b72acf7c2df7ad267a2424baf9c68
Will Helen of Troy (HELE) beat quarterly earnings?,Yes,No,0.04999999999999993,70,17.07,17.08,17.59,16.56,81.78999999999999,0.21,20,0.0,0.0,16.84,11.97,35.85,22.97,22.97,0.55,0.6,0.57,3.5,0.01,False,hele-quarterly-earnings-nongaap-eps-2025-10-09-0pt52,36595540883444483049397704165859734165296213208797590130209779223515442527136,35001997328738137346525262385409939407615706067351206704127889745262708087444,0x2b7e81eb5a5b5b33f6c96d13192c4512411cf58fe73c4fb3f4dad39bb8e90991
Will International Court of Justice win the Nobel Peace Prize in 2025?,Yes,No,0.020000000000000004,70,15.31,15.36,14.12,16.59,369.75,0.04,20,35.1,21.3,21.89,123.25,123.25,123.25,123.25,0.06,0.08,0.07,3.5,0.01,True,will-international-court-of-justice-win-the-nobel-peace-prize-in-2025,36100252016429235166971464852761174064397548983991672489459694709597066132434,73984735279132835995800607992859335826780118808814312060861377250450659593959,0x3a2e4ae1fa0f7df7e78ef8497a3e9867345032c51109aacc9b4caa68fcb6d49b
Will Hamas release all Israeli hostages by October 31?,Yes,No,0.009999999999999953,300,11.96,12.45,9.0,15.9,79.39999999999999,0.15,200,11.11,6.74,6.58,12.56,13.86,30.38,35.16,0.4,0.41,0.4,3.5,0.01,False,will-hamas-release-all-israeli-hostages-by-october-31,103034839782809479079899041180063896559605994387467110193626479982154850697165,96907604405630520883580731772506760114811838727447075342091817644334489049116,0x0ed1d3981a2067c9a53364b00d4342e703026926615de49aec9bead2cb2f8393
Will Unity Bancorp (UNTY) beat quarterly earnings?,Yes,No,0.04999999999999993,70,11.9,12.56,8.54,16.58,32.32,0.37,20,0.0,0.0,0.0,5.54,4.18,14.07,14.07,0.77,0.82,0.8,3.5,0.01,False,unty-quarterly-earnings-gaap-eps-2025-10-10-1pt29,40200913228891513316709582884707676821056070942029234705719226758333843407501,1933485463913189515254096617203860061791972571488994066702957622202574270450,0x5a58ac95347476118d188fc1b3651ec5a603a505abb673b6fefa677cd11686d5
Will ServisFirst Bancshares (SFBS) beat quarterly earnings?,Yes,No,0.040000000000000036,70,11.88,12.1,9.85,14.34,42.49,0.28,20,0.0,0.0,16.42,11.69,11.63,15.43,15.43,0.7,0.74,0.72,3.5,0.01,False,sfbs-quarterly-earnings-nongaap-eps-2025-10-20-1pt34,54632396797299782633329120708072039383491248244637817144372970401967589664607,56788684528386827959253843363434812279856441910772065746448000925265680655208,0x499806221a598eeb2761549f5f50cb2a32198b9e3c3342ad8eb09eb015bf008d
Will Truist Financial (TFC) beat quarterly earnings?,Yes,No,0.030000000000000027,70,11.31,11.32,11.03,11.6,61.660000000000004,0.18,20,0.0,0.0,26.44,19.12,19.46,21.1,21.1,0.75,0.78,0.76,3.5,0.01,False,tfc-quarterly-earnings-nongaap-eps-2025-10-17-0pt99,108566333406730813898779603985545324286951154485668872695413493959006563788379,14668225719180518178643015375928942532582944440737981814290359555575110333322,0xff3db55dd6ad4dc3938876a6b18812b121556a314309a9e08c870f99f797818f
Will Key (KEY) beat quarterly earnings?,Yes,No,0.020000000000000018,70,11.19,11.56,8.69,14.42,33.44,0.33,20,0.0,4.13,2.96,3.84,3.6,14.92,14.92,0.65,0.67,0.66,3.5,0.01,False,key-quarterly-earnings-gaap-eps-2025-10-16-0pt38,93723006919773834864276173063265284908250027131683620621406699596105334245793,2721030591740493700497574204608938969411610350250841180575401443154686405409,0x36b9b17c74855c6d49cf333fd6ac6d8cb5d4b72d96d870d59771dab259fa6e3e
Will Nurix Therapeutics (NRIX) beat quarterly earnings?,Yes,No,0.030000000000000027,70,10.86,10.86,10.41,11.32,36.61,0.3,20,0.0,0.0,10.43,7.43,5.27,15.67,15.67,0.71,0.74,0.72,3.5,0.01,False,nrix-quarterly-earnings-gaap-eps-2025-10-10-neg0pt85,89180819592312179567354452226305568030422120425974318359373816604228079744548,75449248108081447291629112992085737919153726875924456218383082152480743168848,0xcceacf84e616fdd9bd7fffc339e4deb267c41c7e817c78723e62bd814358eeed
