question,answer1,answer2,neg_risk,spread,best_bid,best_ask,rewards_daily_rate,bid_reward_per_100,ask_reward_per_100,gm_reward_per_100,sm_reward_per_100,min_size,max_spread,tick_size,market_slug,token1,token2,condition_id
Israel x Hamas ceasefire by October 10?,Yes,No,False,0.020000000000000018,0.26,0.28,500,1.61,12.54,4.49,7.07,200,3.5,0.01,israel-x-hamas-ceasefire-by-october-10,8056974132757317296200280829846107035608526850837286443271605113602493796577,88358652301751022679112899649768658732865017162191802153930292169813218705479,0x60918e364dd0c217c3c1608993c2dfea7f1cbe66791670add299e4e104192993
Will Zohran Mamdani win the 2025 NYC mayoral election?,Yes,No,True,0.0010000000000000009,0.861,0.862,400,0.19,0.1,0.14,0.15,200,3.5,0.001,will-zohran-mamdani-win-the-2025-nyc-mayoral-election,33945469250963963541781051637999677727672635213493648594066577298999471399137,105832362350788616148612362642992403996714020918558917275151746177525518770551,0xebddfcf7b4401dade8b4031770a1ab942b01854f3bed453d5df9425cd9f211a9
Israel x Hamas ceasefire by October 31?,Yes,No,False,0.020000000000000018,0.61,0.63,400,2.83,6.87,4.41,4.85,200,3.5,0.01,israel-x-hamas-ceasefire-by-october-31,84317838341548518890483114460509081388373631447961519857517678607306651005749,60076252498943415720035677952854449191197123869037773384012380189362995221307,0xacac1a4b66459802a709b2f2eeed96fed8f8982a6fa6a782c3bc29556cc5b5a0
Will Hamas release all Israeli hostages by October 31?,Yes,No,False,0.009999999999999953,0.4,0.41,300,9.0,15.9,11.96,12.45,200,3.5,0.01,will-hamas-release-all-israeli-hostages-by-october-31,103034839782809479079899041180063896559605994387467110193626479982154850697165,96907604405630520883580731772506760114811838727447075342091817644334489049116,0x0ed1d3981a2067c9a53364b00d4342e703026926615de49aec9bead2cb2f8393
Israel x Hamas ceasefire by October 17?,Yes,No,False,0.020000000000000018,0.47,0.49,300,7.56,4.25,5.67,5.9,200,3.5,0.01,israel-x-hamas-ceasefire-by-october-17,6719504505815533381130845155090317345996831225442524897176211595570107907498,83422370318483311053733891974427175957930203279178797172986010675254958943117,0x21c3ebd6f0d85a9a78c851ef4485d967d91e890093f5474eb675324c7595a124
Fed decreases interest rates by 25 bps after October 2025 meeting?,Yes,No,True,0.010000000000000009,0.89,0.9,200,0.09,0.05,0.07,0.07,200,3.5,0.01,fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting,78970393675220813117457137074949547635027336958817818487077806376171274244367,39843382223032680172636234017143696377311711066819162700626001781924811983436,0x53f82bd52566e30ae3f8131cb92095dd92ecdf2b0204af0edc226ee194e923fe
Will Donald Trump win Nobel Peace Prize in 2025?,Yes,No,False,0.0020000000000000018,0.032,0.034,200,1.46,1.24,1.35,1.35,200,3.5,0.001,will-donald-trump-win-nobel-peace-prize-in-2025-635,110231926589098351804293174455681788984678095258631881563984268486591441074567,7997695352317515524525062962990406756331391485123047293096327700752767906309,0xab6faa3e66abacc484bbb4bd31ae5e2a56d6f6252b5023631f1bd9e5299fa2f8
Will Andrew Cuomo win the 2025 NYC mayoral election?,Yes,No,True,0.0030000000000000027,0.133,0.136,200,2.13,0.61,1.14,1.37,200,3.5,0.001,will-andrew-cuomo-win-the-2025-nyc-mayoral-election,72685162394098505217895638060393901041260225434938300730127268362092284806692,104468181147316868388088006861839293041095272602974154655578369735976654024471,0xc40cbb2d7f5d2c43c624bd5b1d0b18cd3d0682b3937363ec7c1ad1d13bee107e
Will Donald Trump win the Nobel Peace Prize in 2025?,Yes,No,True,0.0029999999999999957,0.034,0.037,200,1.34,1.19,1.26,1.27,100,3.5,0.001,will-donald-trump-win-the-nobel-peace-prize-in-2025,41582394514006358283904977545426180704223421959888008554250490906601013285995,61701647684316271630518857295341518197364692639393865227072172850649983253664,0x200369a7fc4dad910665c5a77e1c0c0d16237f79c637928bf0c5112cac2db708
Will the federal government be shut down for 10–29 days in 2025?,Yes,No,True,0.010000000000000009,0.65,0.66,200,3.77,5.11,4.39,4.44,100,3.5,0.01,will-the-federal-government-be-shut-down-for-1521-days-in-2025,59205262672725447371793887677427313170766487871246296874903941045385502858154,70882210134856361266719253420145867929097418431612365208245715455835533522476,0x6d1bcf32e38cc291654e71c13e249972cda88bd09d4d98d504c3817e7480bab7
